CourseID,CourseName,Description,LecturerID
LAW1161,Criminal Law,This course covers key topics in criminal law under the LAW department.,L0113
PHYS2905,Thermodynamics,This course covers key topics in thermodynamics under the PHYS department.,L0120
GEND1662,Gender and Development,This course covers key topics in gender and development under the GEND department.,L0041
COMP2514,Software Engineering Principles,This course covers key topics in software engineering principles under the COMP department.,L0051
GEND1111,Gender and Development,This course covers key topics in gender and development under the GEND department.,L0043
PSYC2645,Abnormal Psychology,This course covers key topics in abnormal psychology under the PSYC department.,L0078
LAW1048,Criminal Law,This course covers key topics in criminal law under the LAW department.,L0096
PHYS2807,Thermodynamics,This course covers key topics in thermodynamics under the PHYS department.,L0047
CHEM2037,Inorganic Chemistry,This course covers key topics in inorganic chemistry under the CHEM department.,L0071
MATH1271,Real Analysis,This course covers key topics in real analysis under the MATH department.,L0101
STATS1799,Advanced Statistical Methods,This course covers key topics in advanced statistical methods under the STATS department.,L0032
PHYS1859,Electromagnetism,This course covers key topics in electromagnetism under the PHYS department.,L0113
STATS2019,Introduction to Biostatistics,This course covers key topics in introduction to biostatistics under the STATS department.,L0107
COMP1033,Introduction to Programming,This course covers key topics in introduction to programming under the COMP department.,L0049
ECON2821,Principles of Macroeconomics,This course covers key topics in principles of macroeconomics under the ECON department.,L0033
COMP2617,Introduction to Programming,This course covers key topics in introduction to programming under the COMP department.,L0175
COMP1524,Software Engineering Principles,This course covers key topics in software engineering principles under the COMP department.,L0017
CHEM2597,Inorganic Chemistry,This course covers key topics in inorganic chemistry under the CHEM department.,L0125
ECON1661,Econometrics,This course covers key topics in econometrics under the ECON department.,L0031
LAW1710,Contract Law,This course covers key topics in contract law under the LAW department.,L0093
PHYS2915,Quantum Mechanics,This course covers key topics in quantum mechanics under the PHYS department.,L0169
PSYC2616,Research Methods in Psychology,This course covers key topics in research methods in psychology under the PSYC department.,L0191
LAW1649,Criminal Law,This course covers key topics in criminal law under the LAW department.,L0061
CHEM1867,Inorganic Chemistry,This course covers key topics in inorganic chemistry under the CHEM department.,L0056
PSYC1770,Developmental Psychology,This course covers key topics in developmental psychology under the PSYC department.,L0095
GEND2607,Gender and Media,This course covers key topics in gender and media under the GEND department.,L0191
LAW1646,Human Rights Law,This course covers key topics in human rights law under the LAW department.,L0189
BIOL1385,Cell Biology,This course covers key topics in cell biology under the BIOL department.,L0004
COMP2558,Artificial Intelligence,This course covers key topics in artificial intelligence under the COMP department.,L0111
ECON1930,Development Economics,This course covers key topics in development economics under the ECON department.,L0064
BIOL1907,Cell Biology,This course covers key topics in cell biology under the BIOL department.,L0192
PHYS1481,Electromagnetism,This course covers key topics in electromagnetism under the PHYS department.,L0123
PHYS1702,General Physics I,This course covers key topics in general physics i under the PHYS department.,L0143
PSYC1891,Developmental Psychology,This course covers key topics in developmental psychology under the PSYC department.,L0020
CHEM1969,Fundamentals of Chemistry,This course covers key topics in fundamentals of chemistry under the CHEM department.,L0135
LAW1196,Human Rights Law,This course covers key topics in human rights law under the LAW department.,L0151
MATH2092,Calculus I,This course covers key topics in calculus i under the MATH department.,L0019
LAW1549,Contract Law,This course covers key topics in contract law under the LAW department.,L0006
GEND1921,Feminist Political Thought,This course covers key topics in feminist political thought under the GEND department.,L0073
MATH1742,Abstract Algebra,This course covers key topics in abstract algebra under the MATH department.,L0057
COMP2462,Software Engineering Principles,This course covers key topics in software engineering principles under the COMP department.,L0040
ECON1591,Development Economics,This course covers key topics in development economics under the ECON department.,L0078
CHEM2772,Inorganic Chemistry,This course covers key topics in inorganic chemistry under the CHEM department.,L0191
PSYC2079,Developmental Psychology,This course covers key topics in developmental psychology under the PSYC department.,L0026
CHEM1749,Fundamentals of Chemistry,This course covers key topics in fundamentals of chemistry under the CHEM department.,L0128
GEND1515,Queer Theory,This course covers key topics in queer theory under the GEND department.,L0120
ECON2587,Econometrics,This course covers key topics in econometrics under the ECON department.,L0019
MATH2022,Differential Equations,This course covers key topics in differential equations under the MATH department.,L0103
GEND2372,Introduction to Gender Studies,This course covers key topics in introduction to gender studies under the GEND department.,L0109
CHEM1596,Organic Chemistry I,This course covers key topics in organic chemistry i under the CHEM department.,L0150
COMP2518,Operating Systems Concepts,This course covers key topics in operating systems concepts under the COMP department.,L0135
BIOL2328,Cell Biology,This course covers key topics in cell biology under the BIOL department.,L0088
CHEM2419,Organic Chemistry I,This course covers key topics in organic chemistry i under the CHEM department.,L0181
ECON1445,Principles of Macroeconomics,This course covers key topics in principles of macroeconomics under the ECON department.,L0181
CHEM2277,Inorganic Chemistry,This course covers key topics in inorganic chemistry under the CHEM department.,L0023
STATS2094,Advanced Statistical Methods,This course covers key topics in advanced statistical methods under the STATS department.,L0178
MATH2099,Abstract Algebra,This course covers key topics in abstract algebra under the MATH department.,L0162
CHEM1258,Inorganic Chemistry,This course covers key topics in inorganic chemistry under the CHEM department.,L0044
LAW1106,Human Rights Law,This course covers key topics in human rights law under the LAW department.,L0058
PHYS1022,Quantum Mechanics,This course covers key topics in quantum mechanics under the PHYS department.,L0168
CHEM2106,Fundamentals of Chemistry,This course covers key topics in fundamentals of chemistry under the CHEM department.,L0163
PSYC1926,Developmental Psychology,This course covers key topics in developmental psychology under the PSYC department.,L0044
BIOL2390,Cell Biology,This course covers key topics in cell biology under the BIOL department.,L0001
COMP2570,Software Engineering Principles,This course covers key topics in software engineering principles under the COMP department.,L0117
PHYS2863,General Physics I,This course covers key topics in general physics i under the PHYS department.,L0037
PSYC1971,Abnormal Psychology,This course covers key topics in abnormal psychology under the PSYC department.,L0003
STATS1653,Probability and Statistics,This course covers key topics in probability and statistics under the STATS department.,L0042
STATS1772,Statistical Inference,This course covers key topics in statistical inference under the STATS department.,L0024
CHEM1805,Fundamentals of Chemistry,This course covers key topics in fundamentals of chemistry under the CHEM department.,L0074
COMP1525,Artificial Intelligence,This course covers key topics in artificial intelligence under the COMP department.,L0062
ECON1918,International Trade,This course covers key topics in international trade under the ECON department.,L0094
CHEM2982,Organic Chemistry I,This course covers key topics in organic chemistry i under the CHEM department.,L0176
STATS2440,Statistical Inference,This course covers key topics in statistical inference under the STATS department.,L0061
ECON1136,Econometrics,This course covers key topics in econometrics under the ECON department.,L0190
MATH1479,Linear Algebra,This course covers key topics in linear algebra under the MATH department.,L0029
PHYS1365,General Physics I,This course covers key topics in general physics i under the PHYS department.,L0024
PSYC1366,Research Methods in Psychology,This course covers key topics in research methods in psychology under the PSYC department.,L0048
ECON1015,International Trade,This course covers key topics in international trade under the ECON department.,L0030
GEND2391,Introduction to Gender Studies,This course covers key topics in introduction to gender studies under the GEND department.,L0104
BIOL1134,Genetics and Evolution,This course covers key topics in genetics and evolution under the BIOL department.,L0111
PHYS1424,Thermodynamics,This course covers key topics in thermodynamics under the PHYS department.,L0019
LAW1170,International Law,This course covers key topics in international law under the LAW department.,L0018
BIOL2004,Advanced Molecular Biology,This course covers key topics in advanced molecular biology under the BIOL department.,L0107
